id,name,meal_type,base_servings,steps,tags
1,Jajecznica z pomidorami i szczypiorkiem,sniadanie,1,Pokroj pomidor w kostke||Rozgrzej patelnie i roztop maslo||Wbij jajka i mieszaj na srednim ogniu 2 min||Dodaj pomidor i smaz jeszcze 1 min||Dopraw sola i pieprzem||Posyp szczypiorkiem i podaj,szybkie|wytrawne
2,Omlet owsiany z jablkiem i cynamonem,sniadanie,1,Zetrzyj jablko na tarce||W misce wymieszaj jajka platki owsiane mleko i cynamon||Dodaj jablko i szczyptę soli||Rozgrzej patelnie z odrobina oleju||Wlej mase i smaz 2 min z kazdej strony||Podaj z miodem,fit|na_slodko
3,Owsianka nocna z jogurtem i malinami,sniadanie,1,Wsyp platki owsiane do sloika||Dodaj jogurt mleko i nasiona chia||Wymieszaj dokladnie||Wstaw do lodowki na noc||Rano dodaj maliny||Polej miodem i zjedz,bez_pieczenia|na_slodko
4,Kanapki z pasta z awokado i jajkiem,sniadanie,1,Ugotuj jajka na twardo 8 min||Rozgniec awokado widelcem||Dodaj sok z cytryny sol i pieprz||Posmaruj chleb pasta z awokado||Pokroj jajka i uloz na kanapkach||Posyp szczypiorkiem,szybkie|wytrawne
5,Twarozek z rzodkiewka i szczypiorkiem,sniadanie,1,Pokroj rzodkiewki w plasterki||W misce rozgniec twarog||Dodaj jogurt grecki i wymieszaj||Dodaj rzodkiewki szczypiorek sol i pieprz||Podawaj z chlebem||Zjedz od razu,wysokobialkowe|szybkie
6,Placki bananowe,sniadanie,2,Rozgniec banany w misce||Dodaj jajka maka proszek do pieczenia i cynamon||Wymieszaj na gladka mase||Rozgrzej patelnie z olejem||Nakladaj male porcje i smaz 2 min z kazdej strony||Podaj z miodem,na_slodko|dla_dzieci
7,Tosty francuskie z cynamonem,sniadanie,2,W misce roztrzep jajka z mlekiem||Dodaj cynamon i wanilie||Zanurz kromki chleba tostowego w masie||Rozgrzej patelnie i roztop maslo||Smaz tosty po 2 min z kazdej strony||Podaj z miodem,na_slodko
8,Shakshuka sniadaniowa,sniadanie,2,Pokroj cebule i papryke w kostke||Podsmaz cebule na oleju 3 min||Dodaj czosnek i smaz 30 s||Dodaj papryke i smaz 4 min||Wlej passate i dopraw papryka slodka kminem sola i pieprzem||Dus 8 min az sos zgestnieje||Zrob 4 zaglebienia i wbij jajka||Przykryj i gotuj 5 min do sciecia bialek,wytrawne|na_cieplo
9,Wrap sniadaniowy z szynka i serem,sniadanie,2,Rozgrzej patelnie z odrobina oleju||Wbij jajka i zrob szybka jajecznice||Podgrzej tortille na suchej patelni||Na kazdej tortilli uloz szpinak szynke ser i jajecznice||Zwin ciasno w wrap||Podsmaz wrapy 1 min z kazdej strony||Podaj na cieplo,na_cieplo|sycace
10,Pudding chia z mango,sniadanie,1,Wymieszaj nasiona chia z mlekiem||Odstaw na 10 min i ponownie wymieszaj||Dodaj jogurt i miod||Przeloz do miseczki i wstaw do lodowki na 2 h||Pokroj mango w kostke||Uloz mango na wierzchu||Posyp kakao i podaj,bez_pieczenia|na_slodko
11,Jaglanka z mango i chia,sniadanie,1,Przeplucz kasze jaglana na sicie||Wlej mleko i wode do garnka i dodaj kasze||Gotuj 15 min na malym ogniu i mieszaj||Dodaj miod i wymieszaj||Przeloz do miski||Dodaj mango w kostce||Posyp chia i cynamon,na_slodko|fit
12,Kanapki z lososiem i serkiem,sniadanie,2,Posmaruj chleb serkiem kanapkowym||Uloz plasterki lososia na kanapkach||Skrop sokiem z cytryny||Posyp koperkiem||Dopraw pieprzem||Podaj od razu,szybkie|wytrawne
13,Salatka sniadaniowa z feta i rukola,sniadanie,2,Pokroj pomidora i ogorka w kostke||Przeloz do miski i dodaj rukole||Pokrusz fete na wierzch||Wymieszaj olej z sokiem z cytryny||Dopraw sola i pieprzem||Polej sosem i wymieszaj,fit|wytrawne
14,Owsianka pieczona z jablkiem i rodzynkami,sniadanie,2,Nagrzej piekarnik do 180C||Wymieszaj platki owsiane z mlekiem i jajkami||Dodaj proszek do pieczenia cynamon miod i rodzynki||Zetrzyj jablko i dodaj do masy||Przeloz do naczynia i poloz maslo na wierzchu||Piecz 25 min||Podawaj na cieplo,na_slodko|sycace
15,Kasza manna z kakao i bananem,sniadanie,1,Zagotuj mleko w garnku||Wsyp kasze manne i mieszaj 3 min||Dodaj kakao i wanilie||Przeloz do miski||Dodaj banana w plasterkach||Polej miodem i podaj,na_slodko|szybkie
16,Smoothie bowl truskawkowo bananowy,sniadanie,1,Zblenduj truskawki banana i jogurt na gladko||Przeloz do miski||Posyp nasionami chia||Udekoruj truskawkami||Polej miodem||Zjedz od razu,bez_pieczenia|na_slodko
17,Tofu scramble ze szpinakiem i pomidorem,sniadanie,2,Pokrusz tofu widelcem w misce||Podsmaz cebule na oleju 3 min||Dodaj czosnek i kurkume||Dodaj tofu i smaz 5 min||Dodaj szpinak i pomidora||Dopraw sola i pieprzem||Smaz jeszcze 2 min i podaj,wytrawne|wysokobialkowe
18,Placuszki twarogowe z borowkami,sniadanie,2,Wymieszaj twarog z jajkami||Dodaj make proszek do pieczenia i wanilie||Rozgrzej patelnie z olejem||Smaz male placuszki 2 min z kazdej strony||Podaj z borowkami||Polej miodem,na_slodko|wysokobialkowe
19,Tosty z maslem orzechowym i bananem,sniadanie,1,Opiecz chleb tostowy w tosterze||Posmaruj maslem orzechowym||Uloz banana w plasterkach||Posyp cynamonem||Polej miodem||Podaj od razu,szybkie|na_slodko
20,Jajka w koszulce na szpinaku,sniadanie,1,Podgrzej maslo na patelni||Dodaj szpinak i dus 2 min||Zagotuj wode w garnku i dodaj ocet||Wbij jajka do wody i gotuj 3 min||Wyjmij jajka lyzka cedzakowa||Uloz szpinak i jajka na chlebie||Dopraw sola pieprzem i skrop sokiem z cytryny,wytrawne|na_cieplo
21,Skyr z granola i borowkami,sniadanie,1,Wsyp skyr do miski||Dodaj granole||Dodaj borowki||Skrop miodem||Posyp chia i podaj,szybkie|na_slodko
22,Jajka sadzone z pieczarkami i szpinakiem,sniadanie,1,Pokroj pieczarki w plastry||Rozgrzej maslo na patelni||Podsmaz cebule 2 min||Dodaj pieczarki i smaz 5 min||Dodaj szpinak i dopraw||Usun warzywa na bok i wbij jajka||Smaz do sciecia bialek||Posyp natka pietruszki i podaj,wytrawne|na_cieplo
23,Pasta jajeczna z awokado na chlebie,sniadanie,1,Ugotuj jajka na twardo 8 min||Obierz i posiekaj jajka||Rozgniec awokado||Dodaj jogurt sok z cytryny sol i pieprz||Wymieszaj z jajkami||Posmaruj chleb pasta||Posyp szczypiorkiem i podaj,szybkie|wytrawne
24,Nalesniki owsiane z truskawkami,sniadanie,2,Zmiel platki na make w blenderze||Wymieszaj z jajkami i mlekiem||Odstaw 5 min aby zgestnialo||Rozgrzej patelnie z olejem||Smaz cienkie nalesniki po 2 min z kazdej strony||Podaj z jogurtem i truskawkami||Polej miodem,na_slodko
25,Bowl z kefirem i mango,sniadanie,1,Wymieszaj chia z kefirem||Odstaw 10 min i wymieszaj ponownie||Przeloz do miski||Dodaj mango w kostce||Polej miodem||Posyp cynamonem i podaj,bez_pieczenia|na_slodko
26,Kanapki z hummusem i ogorkiem,sniadanie,2,Posmaruj chleb hummusem||Pokroj ogorka w plastry||Uloz ogorka i rukole na kanapkach||Skrop sokiem z cytryny||Dopraw sola i pieprzem||Podaj od razu,szybkie|fit
27,Zapiekane jajka z feta i pomidorem,sniadanie,1,Nagrzej piekarnik do 190C||Podsmaz cebule na oleju 3 min||Dodaj szpinak i pomidora i dus 3 min||Przeloz do naczynka||Pokrusz fete||Wbij jajka||Piecz 10 min do sciecia bialek||Dopraw sola pieprzem i papryka slodka,wytrawne|na_cieplo
28,Kasza gryczana na slodko z jablkiem,sniadanie,2,Przeplucz kasze gryczana na sicie||Wlej mleko i wode do garnka||Dodaj kasze i gotuj 15 min||Zetrzyj jablko i dodaj do garnka||Dodaj cynamon rodzynki i miod||Gotuj 2 min i podaj,na_slodko|sycace
29,Tosty z pesto i mozzarella,sniadanie,1,Opiecz chleb tostowy w tosterze||Posmaruj pesto||Uloz pomidora w plastrach||Dodaj mozzarella||Zapiecz 3 min w piekarniku||Dopraw sola i pieprzem i podaj,wytrawne|szybkie
30,Omlet z szynka serem i papryka,sniadanie,2,Pokroj papryke i cebule w kostke||Podsmaz warzywa na oleju 4 min||Dodaj szynke i smaz 1 min||Roztrzep jajka z sola i pieprzem||Wlej jajka na patelnie||Posyp serem||Smaz 3 min a potem przykryj 2 min||Zloz omlet i podaj,wytrawne|sycace
31,Kanapki z pasta jajeczna i ogorkiem kiszonym,sniadanie,1,Ugotuj jajka na twardo 8 min||Obierz i posiekaj jajka||Pokroj ogorka kiszonego w drobna kostke||Wymieszaj jajka z jogurtem szczypiorkiem sola i pieprzem||Posmaruj chleb pasta||Podaj od razu,szybkie|wytrawne
32,Ryz na mleku z truskawkami i cynamonem,sniadanie,2,Przeplucz ryz na sicie||Wlej mleko i wode do garnka||Dodaj ryz i szczyptę soli||Gotuj 20 min na malym ogniu i mieszaj||Dodaj wanilie i miod||Podaj z truskawkami i cynamonem,na_slodko|dla_dzieci
